Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Customer Type_Loyal Customer,Customer Type_disloyal Customer,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction
0.8333333333333333,0.06291861173127664,1.0,1.0,0.6000000000000001,1.0,0.8,0.8,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.6282051282051282,0.0158311345646438,1.0,1.0,1.0,1.0,1.0,0.8,0.75,1.0,1.0,1.0,0.75,1.0,1.0,0.8,0.0,0.0015625,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.1923076923076923,0.16460320681956567,0.6000000000000001,0.4,0.8,0.25,0.6000000000000001,0.6000000000000001,0.5,0.6000000000000001,0.75,0.6000000000000001,0.75,0.5,0.75,0.6000000000000001,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.6282051282051282,0.14288613760909274,0.4,0.6000000000000001,0.4,0.5,0.4,0.4,0.25,0.4,0.75,0.8,0.0,0.5,1.0,0.4,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.5256410256410257,0.07063121574994927,0.6000000000000001,0.4,0.4,0.25,0.6000000000000001,0.6000000000000001,0.5,0.6000000000000001,0.75,1.0,0.25,0.5,0.25,0.6000000000000001,0.0,0.0140625,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.20512820512820512,0.18834990866653137,0.8,0.0,0.8,0.25,0.4,0.8,0.25,0.4,0.75,0.4,0.5,0.75,1.0,0.4,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
0.3846153846153846,0.5143089100872742,0.6000000000000001,0.4,1.0,1.0,0.6000000000000001,0.6000000000000001,0.5,0.6000000000000001,0.5,0.6000000000000001,0.5,0.25,0.5,0.4,0.020689655172413793,0.018750000000000003,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.4358974358974359,0.204789933022123,0.8,0.2,0.2,0.0,0.8,0.8,0.75,0.8,0.0,0.8,0.25,0.0,0.25,0.8,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.5128205128205128,0.07387862796833773,0.4,0.2,0.4,0.5,0.4,0.4,0.25,0.4,0.0,0.8,0.5,0.5,0.75,0.4,0.004597701149425287,0.003125,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.34615384615384615,0.023137812056017865,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.5,0.2,0.6000000000000001,0.75,0.8,0.75,0.8,1.0,0.25,0.75,0.4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
